#,Picture,Name,Entry,Category,Type 1,Type 2,Ht (m),Wt (kg),Column 1,Ability 1,Ability 2,Hidden Ability,Regional Variant,Form,Habitat
000,,Missingno,Comment to be written.,???,Bird,Normal,3.3,1590.8,,,,,,Red/Blue,Water's Edge
025,,Pikachu,"They live in forests where they feed mainly on nuts. Forests in which nests of them live are dangerous, since the trees are so often struck by lightning. Its nature is to store up electricity in the small pouches on each side of their cheeks that are discharged when endangered. Smart and charming with an affectionate nature, they are the most popular Pokémon among researchers. Pikachu evolve into Raichu, but many trainers prevent evolution because they don't want their Pokémon to change appearance. Its scientific name is Mus pikalus.",Mouse,Electric,,0.4,6,,Static,,Lightning Rod,,Normal,Forest
026,,Raichu,"Their electric strikes can reach 100,000 volts. Unwittingly touching them can cause even foes several times its size to faint. This Pokémon can learn all Electric-type moves. There have been no reports of Raichu sightings in forests.",Mouse,Electric,,0.8,30,,Static,,Lightning Rod,Kantonian,,Forest
027,,Sandshrew,"They dig and live in burrows. When threatened, they curl up to protect themselves. Besides grasslands, they also apepar in mountainous environments.",Mouse,Ground,,0.6,12,,Sand Veil,,Sand Rush,Kantonian,,Rough Terrain
028,,Sandslash,Sandshrew's evolution. They scurry about quickly. They are adept at attacking using the pointed spines on their back and sharp claws.,Mouse,Ground,,1,29.5,,Sand Veil,,Sand Rush,Kantonian,,Rough Terrain
029,,Nidoran-F,"Although small, they have venomous needles with devastating power. The females have a smaller horn than the males. Their breeding period comes every year in spring. At the end of summer they lay two eggs that hatch in two weeks, one male and one female. Baby Nidoran are just 10 centimeters long.",Poison Pin,Poison,,0.4,7,,Poison Point,Rivalry,Hustle,,,Grassland
030,,Nidorina,"Being female, they are placid in nature. They emit ultrasonic cries that can allure enemies. While they are the evolved form of Nidoran♀, they lose the ability to lay eggs upon evolution.",Poison Pin,Poison,,0.8,20,,Poison Point,Rivalry,Hustle,,,Grassland
031,,Nidoqueen,"Nidoqueen's body is encased in extremely hard scales that stand up when agitated. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young. As they grow, they learn powerful moves like Mega Punch and Fire Blast.",Drill,Poison,Ground,1.3,60,,Poison Point,Rivalry,Sheer Force,,,Grassland
032,,Nidoran-M,"They flap their large ears like wings when straining to hear faraway sounds. They extend venomous needles when angered. In their breeding season, their horn glows in seven colors for wooing females. Apparently, the larger the horn, the more appealing to females.",Poison Pin,Poison,,0.5,9,,Poison Point,Rivalry,Hustle,,,Grassland
033,,Nidorino,"They are easily angered. They flail their well-developed horn to skewer even diamonds. While they are the evolved form of Nidoran♂, unlike Nidorina, they do not lose their breeding ability.",Poison Pin,Poison,,0.9,19.5,,Poison Point,Rivalry,Hustle,,,Grassland
034,,Nidoking,"Nidoking's tail packs enormously destructive power. With one swing, it can topple a metal tower. If it binds an enemy, it can snap the victim's spine easily. Be careful with the horn as it contains venom. They appear to shy away from fighting Nidoqueen.",Drill,Poison,Ground,1.4,62,,Poison Point,Rivalry,Sheer Force,,,Grassland
035,,Clefairy,"Its magical and cute appeal has many admirers, making it popular as pets. However, it is rare and found only in certain areas, most notably in the caves of Mt. Moon. Clefairy is best at moving the move Metronome which triggers a random move from many choices. Occasionally, they startle themselves by using a powerful move that doesn't suit their cute appearance. They are surprisingly well liked by not only people but even their fellow Pokémon.",Fairy,Fairy,,0.6,7.5,,Cute Charm,Magic Guard,Friend Guard,,,Mountains
036,,Clefable,Neither Clefairy nor Clefable like squabbling. Perhaps that explains why their hearing is so superbly developed. They can even discern the sound of a pin dropping 1 kilometer away. They immediately flee if they hear danger approaching.,Fairy,Fairy,,1.3,40,,Cute Charm,Magic Guard,Unaware,,Normal,Mountains
037,,Vulpix,"They have six gorgeous tails that increase in number as they grow. It is quite warm and cuddly. Inside Vulpix's body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.",Fox,Fire,,0.6,9.9,,Flash Fire,,Drought,Kantonian,,Grassland
038,,Ninetales,"They are clad in a golden fur and have long nine tails. They are a long-living Pokémon that are said to live for a thousand years. Extremely vindicitive, it is said to lay a 1,000-year long curse if its tail is pulled as a joke. According to an enduring legend, 9 noble saints were united and reincarnated as this Pokémon.",Fox,Fire,,1.1,19.9,,Flash Fire,,Drought,Kantonian,,Grassland
039,,Jigglypuff,"Looking into its cute, round eyes causes it to sing a relaxing melody, inducing its enemies to sleep. It never pauses to breathe when it sings, so if its opponent does not fall asleep, its life is endangered. Belying their adorable appearance, they can learn a diverse array of moves. If they become displeased, they inflate themselves like a balloon.",Balloon,Normal,Fairy,0.5,5.5,,Cute Charm,Competitive,Friend Guard,,,Grassland
040,,Wigglytuff,"Its fur is the ultimate in luxuriousness. Sleeping alongside a Wigglytuff is simply divine. If any dust gets in this Pokémon's eyes, it is quickly washed away thanks to a thin layer of tears. While they share many moves with Jigglypuff, they additionally learn Hyper Beam.",Balloon,Normal,Fairy,1,12,,Cute Charm,Competitive,Frisk,,,Grassland
041,,Zubat,"They live in murky caves on mountains and similar environments, because they live in perpetual darkness. Their eyes retrogressed and disappeared. They emit ultrasonic cries for flitting around in darkness. Apparently, it is very rare for them to fly outside their caves.",Bat,Poison,Flying,0.8,7.5,,Inner Focus,,Infiltrator,,,Cave
042,,Golbat,They bite with their sharp fangs and suck 300 milliliters in one chomp. Its own blood type changes to that of its victim. It is particularly active in the pitch black of night.,Bat,Poison,Flying,1.6,55,,Inner Focus,,Infiltrator,,,Cave
043,,Oddish,"Also known as Walkimendes. At night, they walk up to 300 meters on their two roots. Being plants, it was a mystery as to why they walked. It was finally determined by a recent study that it was for the survival of the species. They scatter their pollen as they walk.",Weed,Grass,Poison,0.5,5.4,,Chlorophyll,,Run Away,,,Grassland
044,,Gloom,"Their pistil emits a horrifically foul stench that makes foes faint up to 2 kilometers away. However, if this Pokémon is feeling calm and secure, it does not release its usual stinky aroma. The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.",Weed,Grass,Poison,0.8,8.6,,Chlorophyll,,Stench,,,Grassland
045,,Vileplume,"From their world's-largest petals, they scatter wicked plumes of pollen that induce allergic reactions. Other Pokémon can't get near where Vileplume lives.",Flower,Grass,Poison,1.2,18.6,,Chlorophyll,,Effect Spore,,,Grassland
046,,Paras,"Growing from the bug's back are mushrooms called Tochukaso. The mushrooms grow in step with the Pokémon. They live under fallen trees in forests. When they grow to a certain size, they move to grasslands and marshes.",Mushroom,Bug,Grass,0.3,5.4,,Effect Spore,Dry Skin,Damp,,,Forest
047,,Parasect,"They scatter toxic spores from the mushroom's cap. In some parts of the world, the spores are apparently used as ingredients of herbal medicine. Being Paras' evolution, Parasect was included among the Pokémon of forests. However, they are almost impossible to find in forests.",Mushroom,Bug,Grass,1,29.5,,Effect Spore,Dry Skin,Damp,,,Forest
048,,Venonat,"Their eyes serve as radars that let them stay active in darkness. The eyes also emit beams of light. They have been confirmed to be a Bug type. Although they evolve into Venomoth, its pupal form remains a mystery.",Insect,Bug,Poison,1,30,,Compound Eyes,Tinted Lens,Run Away,,,Forest
049,,Venomoth,"The wings are covered in powdery, toxic scales. With every flap of their wings, they scatter the scales in clouds. They are said to live in Fuchsia City's Safari Zone. This is because they are difficult to find elsewhere due to their small population. Their pupal stage is shrouded in mystery.",Poison Moth,Bug,Poison,1.5,12.5,,Shield Dust,Tinted Lens,Wonder Skin,,,Forest
050,,Diglett,"They burrow through the ground close to the surface. They leave ridged trails of soil in their wake that betray their location. They may appear in the trail of an Onix, probably seeking its leftovers.",Mole,Ground,,0.2,0.8,,Sand Veil,Arena Trap,Sand Force,Kantonian,,Cave
051,,Dugtrio,"They burrow underground to hide themselves, and then strike the unsuspecting target from a different spot. Some researchers categorize Dugtrio, Dodrio, Exeggcute, and Exeggutor as one genre.",Mole,Ground,,0.7,33.3,,Sand Veil,Arena Trap,Sand Force,Kantonian,,Cave
052,,Meowth,"Being nocturnal, they sleep through the day. At night, they prowl their territory with eyes aglow. They are a happily beneficial Pokémon that can earn their trainer pocket change using their Pay Day move.",Scratch Cat,Normal,,0.4,4.2,,Pickup,Technician,Unnerve,Kantonian,,Urban
053,,Persian,"Fickle and ferocious. Beware if they raise their tail straight. It's a sure sign they are preparing to leap and bite. Due to their gorgeous coat, many women keep them as trophy pets. Wild Persian, however, are known to be truly vicious.",Classy Cat,Normal,,1,32,,Limber,Technician,Unnerve,Kantonian,,Urban
054,,Psyduck,"They are always suffering from a headache. If their headache intensifies, they start using mysterious powers. It doesn't recall that it used them after the fact, though. Some people believe that its vacant and unaware appearance is simply a ruse.",Duck,Water,,0.8,19.6,,Damp,Cloud Nine,Swift Swim,,,Water's Edge
055,,Golduck,"Its body is composed of water, and it is an expert swimmer. It can often be spotted gliding gracefully through the water. Unlike Psyduck, it is capable of learning the move ""Hyper Beam.""",Duck,Water,,1.7,76.6,,Damp,Cloud Nine,Swift Swim,,,Water's Edge
056,,Mankey,"Light on their feet and extremely volatile. They can fly into a rage and rampage uncontrollably. While they are usually in good spirits, their disposition can change instantly at the slightest provocation. Some researchers point to a calcium deficiency.",Pig Monkey,Fighting,,0.5,28,,Vital Spirit,Anger Point,Defiant,,,Mountains
057,,Primeape,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time. They will give chase and will not stop however far one runs. It's all over if you lock eyes with one. ",Pig Monkey,Fighting,,1,32,,Vital Spirit,Anger Point,Defiant,,,Mountains
058,,Growlithe,"Friendly toward people with a loyal nature. Faced with an enemy, they bark and bite to drive their foe away. Cinnabar Island is famous as a home to many Fire-type Pokémon, and its unique ecosphere is thought to have strongly influenced its native Pokémon, with Growlithe being no exception. Growlithe's evolution is dependent on a stone.",Puppy,Fire,,0.7,19,,Intimidate,Flash Fire,Justified,Kantonian,,Grassland
059,,Arcanine,"There's so many old tales about them that they're called legendary Pokémon, but there are way more of them around than you'd expect. Sanctified paper cuts imprinted with an Arcanine illustration are considered beneficial for keeping evil at bay. Said to be capable of running over 6,200 miles in 24 hours. ",Legendary,Fire,,1.9,155,,Intimidate,Flash Fire,Justified,Kantonian,,Grassland
060,,Poliwag,The slick black skin is thin and damp. A portion of their internal organs can be seen as a spiral. They can be categorized as relatives of tadpoles.,Tadpole,Water,,0.6,12.4,,Water Absorb,Damp,Swift Swim,,,Water's Edge
061,,Poliwhirl,"Poliwag's evolution. While tadpoles grow into frogs, Poliwag remained in tadpole form and grew muscular to end up as Poliwhirl. While their legs are well developed for life on land, they appear to prefer life in water.",Tadpole,Water,,1,20,,Water Absorb,Damp,Swift Swim,,,Water's Edge
062,,Poliwrath,"Its highly developed, brawny muscles never grow fatigued. It is so tirelessly strong, that it can swim back and forth across the ocean in multiple styles like the crawl and the butterfly without effort. Even pro athletes are no match for their speed. However, it appears their muscles were developed specifically for swimming as they are not fast at running. While they are Poliwhirl's evolution, they remain in tadpole form, unlike Politoed.",Tadpole,Water,Fighting,1.3,54,,Water Absorb,Damp,Swift Swim,,,Water's Edge
063,,Abra,"They sleep for 16 hours a day. However, even asleep they use a variety of extrasensory powers. They are rarely encountered due to their small population. Moreover, they will teleport instantly if threatened. As a result, they often escape before they could be captured in a rare encounter. They evolve into Kadabra.",Psi,Psychic,,0.9,19.5,,Synchronize,Inner Focus,Magic Guard,,,Urban
064,,Kadabra,"""As a psychic boy awoke one morning, he found himself transformed in his bed into a Kadabra."" The crowning of the Kadabra-themed short story ""The Transformation"" as the 2nd Pokémon Literary Award winner is still fresh in our memory. If Pikachu is the Pokémon idol, Kadabra can be considered a favorite among those in the know.",Psi,Psychic,,1.3,56.5,,Synchronize,Inner Focus,Magic Guard,,,Urban
065,,Alakazam,"Disdainful of physical attacks, they adeptly wield extrasensory powers to defeat their foes. While they are Kadabra's evolution, no one had been able to prove it conclusively until Pokémon trading became legalized. In battle, Alakazam remains expressionless throughout.",Psi,Psychic,,1.5,48,,Synchronize,Inner Focus,Magic Guard,,Normal,Urban
066,,Machop,"Being entirely musclebound, they have the power to throw a hundred adult people despite their small, childlike stature.",Superpower,Fighting,,0.8,19.5,,Guts,No Guard,Steadfast,,,Mountains
067,,Machoke,"Machop's evolution. Their powerful body never tires. Diligent and hardworking, they help people with work such as transporting heavy cargo.",Superpower,Fighting,,1.5,70.5,,Guts,No Guard,Steadfast,,,Mountains
068,,Machamp,"Its four ruggedly developed arms have the potential to launch a flurry of 1,000 punches in just two seconds. Its fighting spirit flares up when it faces a tough opponent.",Superpower,Fighting,,1.6,130,,Guts,No Guard,Steadfast,,Normal,Mountains
069,,Bellsprout,"Their bud has the appearance of a face. Because of it, they are said to be a type of the legendary mandrake root. They feed mainly on small insects.",Flower,Grass,Poison,0.7,4,,Chlorophyll,,Gluttony,,,Forest
070,,Weepinbell,It lives by absorbing nutrients in the ground through its root-like feet. The leaves are cutters for shredding foes. They spit a liquid that dissolves anything.,Flycatcher,Grass,Poison,1,6.4,,Chlorophyll,,Gluttony,,,Forest
071,,Victreebel,Prey are drawn with a honey-like aroma into Victreebel's mouth where they are melted by a dissolving fluid. This Pokémon is omnivorous and will eat anything that fits in their mouth.,Flycatcher,Grass,Poison,1.7,15.5,,Chlorophyll,,Gluttony,,Normal,Forest
072,,Tentacool,"From their crystal-clear eyes, they emit mysterious rays of light. They feed on plankton. 99% of their body is composed of water.",Jellyfish,Water,Poison,0.9,45.5,,Clear Body,Liquid Ooze,Rain Dish,,,Sea
073,,Tentacruel,"The eighty tentacles move about freely to ensnare prey like small fish. The tentacles also have venomous needles that induce poisoning and full-body paralysis. The large red orbs on its head glow before lashing the vicinity with a harsh ultrasonic blast. This Pokémon's outburst creates rough waves around it, making all fish Pokémon disappear from the surrounding sea. For those qualities, they are called ""gangsters of the sea."" The longer one has been alive, the fewer tentacles it will have.",Jellyfish,Water,Poison,1.6,55,,Clear Body,Liquid Ooze,Rain Dish,,,Sea
074,,Geodude,"A docile Pokémon that does not harm people. That said, they can lose their temper if they are accidentally stepped on in caves, for example. They can be found while hiking on mountains. Being round and easy to hold, people toss them back and forth in Geodude fights.",Rock,Rock,Ground,0.4,20,,Rock Head,Sturdy,Sand Veil,Kantonian,,Mountains
075,,Graveler,"When walking on sloped mountain trails, Graveler may come tumbling along. While their face wears a smile, their eyes never smile. It is very creepy to see them come rolling with that expression.",Rock,Rock,Ground,1,105,,Rock Head,Sturdy,Sand Veil,Kantonian,,Mountains
076,,Golem,"They tumble on sloped trails at twice the speed of a Graveler. They are encased in a hard shell composed of sheet rock-like slabs. They grow larger by shedding their shell once a year. With luck, people may find a Golem's discarded shell on a mountain in summer.",Megaton,Rock,Ground,1.4,300,,Rock Head,Sturdy,Sand Veil,Kantonian,,Mountains
077,,Ponyta,"Their light body is supported by incredibly strong legs. They can clear a tower in one jump. While this herbivore is peaceful, care must be taken when shoeing them - they can kick.",Fire Horse,Fire,,1,30,,Run Away,Flash Fire,Flame Body,Kantonian,,Grassland
078,,Rapidash,Ponyta's evolution. They can run up to 240 KMH. They can keep pace with a bullet train while enveloping themselves in flames. They obey people dutifully.,Fire Horse,Fire,,1.7,95,,Run Away,Flash Fire,Flame Body,Kantonian,,
079,,Slowpoke,"Always vacant and ""out to lunch,"" it is impossible to determine what they are thinking. They live by the water's edge where they deftly catch prey with their tail. Although they have enough smarts to fish that way, they exhibit no other behavior that would indicate any greater intelligence. They frequently swim undersea in search of prey, but are often mistakenly caught themselves.",Dopey,Water,Psychic,1.2,36,,Oblivious,Own Tempo,Regenerator,Kantonian,,Water's Edge
080,,Slowbro,"When Slowpoke went foraging in the sea, they were bitten on their tail by Shellder. This resulted in their evolution into Slowbro. It is unknown as to why they did not try to remove the Shellder. It is suspected that doing so would have required too much effort. They are naturally averse to fighting, and like Slowpoke, appear to prefer zoning out.",Hermit Crab,Water,Psychic,1.6,78.5,,Oblivious,Own Tempo,Regenerator,Kantonian,Normal,Water's Edge
081,,Magnemite,"They move around while levitating. The units on their sides radiate energy like electromagnetic waves. Although they are fundamentally different from the other Pokémon of the skies, they used to be classified as such because there was no other grouping for them.",Magnet,Electric,Steel,0.3,6,,Magnet Pull,Sturdy,Analytic,,,Rough Terrain
082,,Magneton,"Magnemite's evolution. What keeps this Pokémon levitating was unknown until recently, when Bill Sonezaki discovered that its due to magnetic fields. Formed by multiple Magnemite linked together, they discharge intense magnetic rays and high-voltage power.",Magnet,Electric,Steel,1,60,,Magnet Pull,Sturdy,Analytic,,,Rough Terrain
083,,Farfetchd,"They always carry a plant stalk for crafting their nest when walking. A recent study also revealed the stalk to be food for emergencies. Several years ago, the mass media reported on the deliciousness of cooking Farfetch'd with their stalk. This news spread worldwide, resulting in a massive decline in their population. In order to prevent their extinction, more people have made an effort to breed these Pokémon.",Wild Duck,Normal,Flying,0.8,15,,Keen Eye,Inner Focus,Defiant,Kantonian,,Grassland
084,,Doduo,"A two-headed Pokémon discovered thirty years ago. They are probably a mutation. They appear to dislike flying. They seem to be much better at running based on their 100 km/h speed. In the near future, it is feared their wings will devolve and rob them of their ability to fly.",Twin Bird,Normal,Flying,1.4,39.2,,Run Away,Early Bird,Tangled Feet,,,Grassland
085,,Dodrio,"Dodrio's evolution. A rare species that is hardly ever found in the wild. Their three heads express the emotions joy, sadness, and anger. Uses its three brains to execute complex plans. It also has three sets of hearts and lungs as well, so it is capable of running long distances without rest. Some historians have sworn that in ancient times there was a religion that thrived deep in the southern reaches of the globe which revered Dodrio as their symbol.",Triple Bird,Normal,Flying,1.8,85.2,,Run Away,Early Bird,Tangled Feet,,,Grassland
086,,Seel,"The light blue-haired hide is thick and tough. They remain active even in intense cold of -40° C. They live in sea caves and the like. During the day, they often drift in the sea, probably searching for food.",Sea Lion,Water,,1.1,90,,Thick Fat,Hydration,Ice Body,,,Sea
087,,Dewgong,"Seel's evolution. They are cloaked entirely in pure-white hair. Their blubber reaches an incredible thickness of 30 centimeters. Stores thermal energy in its body, making them highly resistant to cold. Swims at a steady 8 knots even in intensely cold waters, searching for Pokémon that will become its prey.",Sea Lion,Water,Ice,1.7,120,,Thick Fat,Hydration,Ice Body,,,Sea
088,,Grimer,"X-rays from the moon transformed toxic sludge into Grimer. They love to eat filthy things. When first discovered, their appearances were limited to empty lots behind factories and so on. However, they have become progressively bolder in the places they appear. Its scientific name is Toxodictyostelium putridum.",Sludge,Poison,,0.9,30,,Stench,Sticky Hold,Poison Touch,Kantonian,,Urban
089,,Muk,They usually keep themselves hidden by mingling with soil. Contact results in a severe poisoning. Analysis of their cells revealed the presence of substances that are inconceivable in living things. It should be no surprise that they are Grimer's evolution.,Sludge,Poison,,1.2,30,,Stench,Sticky Hold,Poison Touch,Kantonian,,Urban
090,,Shellder,"Encased within a shell that is harder than diamond. The body inside, however, is surprisngly tender. They are good with the move Clamp which squeezes the victim between the shell halves.",Bivalve,Water,,0.3,4,,Shell Armor,Skill Link,Overcoat,,,Sea
091,,Cloyster,Said to be Shellder' only evolution. The shell is extremely durable. Even a direct hit from a napalm bomb can't destroy it. The shell opens only when attacking. Their Spike Cannon - which repeatedly stabs the foe with spikes - is devastating.,Bivalve,Water,Ice,1.5,132.5,,Shell Armor,Skill Link,Overcoat,,,Sea
092,,Gastly,"A life form composed of a diffuse, gaseous matter. Even a much larger foe would fall in two seconds if enveloped in their gas. Many mysteries surround this Pokémon. Some theories claim they are photochemical smog come to life while others claim they are extra-dimensional beings. The answer remains unknown.",Gas,Ghost,Poison,1.3,0.1,,Levitate,,,,,Cave
093,,Haunter,"Gastly's evolution. They learn moves like Dream Eater and Psychic. It is said that if you feel as though you are being watched in a dark place with no one else around, there is a Haunter lurking. There is a Kantonian folktale that an ancient giant Haunter terrorized people and killed many by eating their souls. ",Gas,Ghost,Poison,1.6,0.1,,Levitate,,,,,Cave
094,,Gengar,"Always thought (and confirmed 30 years ago) to be Haunter's evolution. Many Gengar are playful and are often the culprits behind shadows that laugh in the moonlight. Yet old folk stories say that it emerges from darkness to steal the lives of those who become lost in mountains. Coincidentally, mountain shrines honoring Gengar exist.",Shadow,Ghost,Poison,1.5,40.5,,Cursed Body,,,,Normal,Cave
095,,Onix,"They usually live submerged in soil. They burrow at 80 KMH in search of prey. Like other Ground-type Pokémon, Onix is strong against Poison-type attacks. Conversely, they are vulnerable to Water-type attacks.",Rock Snake,Rock,Ground,8.8,210,,Rock Head,Sturdy,Weak Armor,,,Cave
096,,Drowzee,"Rumored to be the descendant of the legendary creature, Baku, which is said to have eaten dreams. Some even suggest that the myth of Baku actually referred to a Drowzee. It is famous as the first Pokémon to use a move combo - Hypnosis followed by Dream Eater. They are gluttonous herbivores. From their four stomachs, they repeatedly bring up eaten food and rechew it to feed. They are not popular among women due to their appearance. They also have a habit of muttering under their breath to themselves.",Hypnosis,Psychic,,1,32.4,,Insomnia,Forewarn,Inner Focus,,,Grassland
